naive_bayes_unigram_accuracy,naive_bayes_unigram_precision,naive_bayes_unigram_recall,naive_bayes_unigram_fscore,logistic_regression_unigram_accuracy,logistic_regression_unigram_precision,logistic_regression_unigram_recall,logistic_regression_unigram_fscore,random_forest_unigram_accuracy,random_forest_unigram_precision,random_forest_unigram_recall,random_forest_unigram_fscore,decision_tree_unigram_accuracy,decision_tree_unigram_precision,decision_tree_unigram_recall,decision_tree_unigram_fscore,naive_bayes_bigram_accuracy,naive_bayes_bigram_precision,naive_bayes_bigram_recall,naive_bayes_bigram_fscore,logistic_regression_bigram_accuracy,logistic_regression_bigram_precision,logistic_regression_bigram_recall,logistic_regression_bigram_fscore,random_forest_bigram_accuracy,random_forest_bigram_precision,random_forest_bigram_recall,random_forest_bigram_fscore,decision_tree_bigram_accuracy,decision_tree_bigram_precision,decision_tree_bigram_recall,decision_tree_bigram_fscore
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.7444444444444445,0.8375,0.788235294117647,0.79375,0.7701149425287356,0.8375,0.8023952095808383,0.55,0.5444444444444444,0.6125,0.5764705882352941,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7578947368421053,0.9,0.8228571428571428,0.775,0.7291666666666666,0.875,0.7954545454545454,0.65625,0.6288659793814433,0.7625,0.6892655367231638
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.80625,0.7816091954022989,0.85,0.8143712574850299,0.8125,0.7976190476190477,0.8375,0.8170731707317073,0.49375,0.4953271028037383,0.6625,0.5668449197860962,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7373737373737373,0.9125,0.8156424581005587,0.81875,0.7628865979381443,0.925,0.8361581920903955,0.7125,0.6770833333333334,0.8125,0.7386363636363636
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7625,0.7282608695652174,0.8375,0.7790697674418605,0.83125,0.7912087912087912,0.9,0.8421052631578948,0.6375,0.61,0.7625,0.6777777777777777,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7326732673267327,0.925,0.8176795580110497,0.80625,0.7333333333333333,0.9625,0.8324324324324324,0.65625,0.6344086021505376,0.7375,0.6820809248554913
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7613636363636364,0.8375,0.7976190476190477,0.8125,0.7906976744186046,0.85,0.8192771084337349,0.625,0.6162790697674418,0.6625,0.6385542168674699,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.7875,0.7346938775510204,0.9,0.8089887640449438,0.79375,0.7281553398058253,0.9375,0.8196721311475409,0.70625,0.6813186813186813,0.775,0.7251461988304093
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7625,0.71875,0.8625,0.7840909090909092,0.79375,0.7764705882352941,0.825,0.8,0.55625,0.5483870967741935,0.6375,0.5895953757225433,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7422680412371134,0.9,0.8135593220338985,0.76875,0.7047619047619048,0.925,0.8000000000000002,0.6625,0.6511627906976745,0.7,0.674698795180723
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.76875,0.7362637362637363,0.8375,0.7836257309941521,0.8,0.7666666666666667,0.8625,0.8117647058823529,0.64375,0.6825396825396826,0.5375,0.6013986013986015,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.8,0.7352941176470589,0.9375,0.8241758241758242,0.70625,0.6987951807228916,0.725,0.7116564417177915
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7625,0.7333333333333333,0.825,0.776470588235294,0.81875,0.8072289156626506,0.8375,0.8220858895705521,0.6125,0.6875,0.4125,0.5156249999999999,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7326732673267327,0.925,0.8176795580110497,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.71875,0.6767676767676768,0.8375,0.7486033519553074
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75625,0.7252747252747253,0.825,0.7719298245614036,0.79375,0.7901234567901234,0.8,0.7950310559006211,0.5875,0.6060606060606061,0.5,0.5479452054794521,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7525773195876289,0.9125,0.8248587570621468,0.81875,0.7684210526315789,0.9125,0.8342857142857143,0.6625,0.6477272727272727,0.7125,0.6785714285714285
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7446808510638298,0.875,0.8045977011494252,0.825,0.8095238095238095,0.85,0.8292682926829269,0.55,0.5384615384615384,0.7,0.608695652173913,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7525773195876289,0.9125,0.8248587570621468,0.79375,0.7473684210526316,0.8875,0.8114285714285715,0.71875,0.6804123711340206,0.825,0.7457627118644068
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75625,0.7204301075268817,0.8375,0.7745664739884393,0.8125,0.7906976744186046,0.85,0.8192771084337349,0.59375,0.6,0.5625,0.5806451612903225,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.83125,0.7731958762886598,0.9375,0.847457627118644,0.69375,0.6741573033707865,0.75,0.7100591715976332
