name,value
naive_bayes_unigram_accuracy,0.856
naive_bayes_unigram_precision,0.828
naive_bayes_unigram_recall,0.9
naive_bayes_unigram_fscore,0.862
logistic_regression_unigram_accuracy,0.78
logistic_regression_unigram_precision,0.747
logistic_regression_unigram_recall,0.846
logistic_regression_unigram_fscore,0.794
random_forest_unigram_accuracy,0.813
random_forest_unigram_precision,0.794
random_forest_unigram_recall,0.846
random_forest_unigram_fscore,0.819
decision_tree_unigram_accuracy,0.596
decision_tree_unigram_precision,0.61
decision_tree_unigram_recall,0.585
decision_tree_unigram_fscore,0.585
naive_bayes_bigram_accuracy,0.856
naive_bayes_bigram_precision,0.82
naive_bayes_bigram_recall,0.912
naive_bayes_bigram_fscore,0.864
logistic_regression_bigram_accuracy,0.798
logistic_regression_bigram_precision,0.743
logistic_regression_bigram_recall,0.912
logistic_regression_bigram_fscore,0.819
random_forest_bigram_accuracy,0.803
random_forest_bigram_precision,0.742
random_forest_bigram_recall,0.93
random_forest_bigram_fscore,0.825
decision_tree_bigram_accuracy,0.697
decision_tree_bigram_precision,0.675
decision_tree_bigram_recall,0.761
decision_tree_bigram_fscore,0.715
