,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
0,0,0.690625,2022-10-29 16:43:03.459171,2022-10-29 16:43:14.213500,0 days 00:00:10.754329,3381,10.0,790,COMPLETE
1,1,0.6890625,2022-10-29 16:43:14.254662,2022-10-29 16:43:18.089158,0 days 00:00:03.834496,4041,30.0,570,COMPLETE
2,2,0.6546875000000001,2022-10-29 16:43:18.089661,2022-10-29 16:43:20.858832,0 days 00:00:02.769171,4191,100.0,690,COMPLETE
3,3,0.6515625,2022-10-29 16:43:20.859386,2022-10-29 16:43:21.753741,0 days 00:00:00.894355,2961,100.0,230,COMPLETE
4,4,0.6484375,2022-10-29 16:43:21.754186,2022-10-29 16:43:22.705597,0 days 00:00:00.951411,2731,40.0,110,COMPLETE
5,5,0.6296875,2022-10-29 16:43:22.706038,2022-10-29 16:43:23.701361,0 days 00:00:00.995323,3801,,90,COMPLETE
6,6,0.6984374999999999,2022-10-29 16:43:23.701927,2022-10-29 16:43:24.148221,0 days 00:00:00.446294,1571,,1010,COMPLETE
7,7,0.6703125000000001,2022-10-29 16:43:24.148634,2022-10-29 16:43:25.061762,0 days 00:00:00.913128,3181,50.0,150,COMPLETE
8,8,0.7265625,2022-10-29 16:43:25.062201,2022-10-29 16:43:25.248797,0 days 00:00:00.186596,401,90.0,290,COMPLETE
9,9,0.71875,2022-10-29 16:43:25.249357,2022-10-29 16:43:25.772880,0 days 00:00:00.523523,1971,10.0,570,COMPLETE
10,10,0.6921875,2022-10-29 16:43:25.773313,2022-10-29 16:43:25.842040,0 days 00:00:00.068727,71,60.0,330,COMPLETE
11,11,0.6812499999999999,2022-10-29 16:43:25.842455,2022-10-29 16:43:26.213240,0 days 00:00:00.370785,1321,90.0,450,COMPLETE
12,12,0.7109375,2022-10-29 16:43:26.213636,2022-10-29 16:43:26.305314,0 days 00:00:00.091678,231,70.0,390,COMPLETE
13,13,0.6703125,2022-10-29 16:43:26.305716,2022-10-29 16:43:26.564509,0 days 00:00:00.258793,1071,20.0,570,COMPLETE
14,14,0.6749999999999999,2022-10-29 16:43:26.564902,2022-10-29 16:43:27.074746,0 days 00:00:00.509844,2061,90.0,750,COMPLETE
15,15,0.7046874999999999,2022-10-29 16:43:27.075302,2022-10-29 16:43:27.290922,0 days 00:00:00.215620,731,80.0,270,COMPLETE
16,16,0.690625,2022-10-29 16:43:27.291329,2022-10-29 16:43:27.790955,0 days 00:00:00.499626,2101,10.0,890,COMPLETE
17,17,0.6078125,2022-10-29 16:43:27.791418,2022-10-29 16:43:27.956735,0 days 00:00:00.165317,591,10.0,10,COMPLETE
18,18,0.675,2022-10-29 16:43:27.957154,2022-10-29 16:43:28.561289,0 days 00:00:00.604135,2531,90.0,550,COMPLETE
19,19,0.6765625,2022-10-29 16:43:28.561713,2022-10-29 16:43:29.020412,0 days 00:00:00.458699,1591,80.0,430,COMPLETE
20,20,0.715625,2022-10-29 16:43:29.021065,2022-10-29 16:43:29.272217,0 days 00:00:00.251152,921,30.0,610,COMPLETE
21,21,0.7218749999999999,2022-10-29 16:43:29.272634,2022-10-29 16:43:29.468414,0 days 00:00:00.195780,651,30.0,650,COMPLETE
22,22,0.7359375000000001,2022-10-29 16:43:29.468812,2022-10-29 16:43:29.610542,0 days 00:00:00.141730,451,30.0,650,COMPLETE
23,23,0.728125,2022-10-29 16:43:29.610945,2022-10-29 16:43:29.743716,0 days 00:00:00.132771,431,30.0,670,COMPLETE
24,24,0.7015625000000001,2022-10-29 16:43:29.744143,2022-10-29 16:43:29.889413,0 days 00:00:00.145270,421,30.0,830,COMPLETE
25,25,0.6953125,2022-10-29 16:43:29.889817,2022-10-29 16:43:29.945330,0 days 00:00:00.055513,101,30.0,710,COMPLETE
26,26,0.6921875,2022-10-29 16:43:29.945746,2022-10-29 16:43:30.249746,0 days 00:00:00.304000,1141,20.0,490,COMPLETE
27,27,0.7140625,2022-10-29 16:43:30.250140,2022-10-29 16:43:30.383693,0 days 00:00:00.133553,371,50.0,930,COMPLETE
28,28,0.7296875,2022-10-29 16:43:30.384097,2022-10-29 16:43:30.735603,0 days 00:00:00.351506,1431,70.0,350,COMPLETE
29,29,0.6937499999999999,2022-10-29 16:43:30.736007,2022-10-29 16:43:31.154349,0 days 00:00:00.418342,1611,70.0,810,COMPLETE
30,30,0.7234375,2022-10-29 16:43:31.154758,2022-10-29 16:43:31.373101,0 days 00:00:00.218343,811,70.0,370,COMPLETE
31,31,0.6859375,2022-10-29 16:43:31.373523,2022-10-29 16:43:31.698365,0 days 00:00:00.324842,1321,40.0,290,COMPLETE
32,32,0.7265625,2022-10-29 16:43:31.698788,2022-10-29 16:43:31.833294,0 days 00:00:00.134506,421,30.0,490,COMPLETE
33,33,0.7046875,2022-10-29 16:43:31.833903,2022-10-29 16:43:31.875988,0 days 00:00:00.042085,21,30.0,510,COMPLETE
34,34,0.715625,2022-10-29 16:43:31.877469,2022-10-29 16:43:32.126095,0 days 00:00:00.248626,1001,30.0,630,COMPLETE
35,35,0.7296874999999999,2022-10-29 16:43:32.126531,2022-10-29 16:43:32.284928,0 days 00:00:00.158397,541,30.0,730,COMPLETE
36,36,0.6875,2022-10-29 16:43:32.285356,2022-10-29 16:43:32.613654,0 days 00:00:00.328298,1321,60.0,710,COMPLETE
37,37,0.7265625,2022-10-29 16:43:32.614079,2022-10-29 16:43:33.070682,0 days 00:00:00.456603,1721,100.0,750,COMPLETE
38,38,0.6921875,2022-10-29 16:43:33.071171,2022-10-29 16:43:33.845928,0 days 00:00:00.774757,2511,70.0,890,COMPLETE
39,39,0.66875,2022-10-29 16:43:33.847095,2022-10-29 16:43:34.900143,0 days 00:00:01.053048,4341,30.0,670,COMPLETE
40,40,0.66875,2022-10-29 16:43:34.900605,2022-10-29 16:43:35.752033,0 days 00:00:00.851428,3501,,190,COMPLETE
41,41,0.71875,2022-10-29 16:43:35.753045,2022-10-29 16:43:36.209102,0 days 00:00:00.456057,1901,100.0,770,COMPLETE
42,42,0.7203124999999999,2022-10-29 16:43:36.209535,2022-10-29 16:43:36.390191,0 days 00:00:00.180656,621,100.0,730,COMPLETE
43,43,0.6953125,2022-10-29 16:43:36.390597,2022-10-29 16:43:36.835952,0 days 00:00:00.445355,1811,40.0,830,COMPLETE
44,44,0.65625,2022-10-29 16:43:36.836379,2022-10-29 16:43:37.385934,0 days 00:00:00.549555,2261,100.0,610,COMPLETE
45,45,0.7171875000000001,2022-10-29 16:43:37.386363,2022-10-29 16:43:37.701126,0 days 00:00:00.314763,1211,100.0,1010,COMPLETE
46,46,0.7078125,2022-10-29 16:43:37.701550,2022-10-29 16:43:38.066995,0 days 00:00:00.365445,1501,50.0,770,COMPLETE
47,47,0.7140625,2022-10-29 16:43:38.067414,2022-10-29 16:43:38.167895,0 days 00:00:00.100481,301,30.0,470,COMPLETE
48,48,0.709375,2022-10-29 16:43:38.168307,2022-10-29 16:43:38.404074,0 days 00:00:00.235767,911,70.0,670,COMPLETE
49,49,0.715625,2022-10-29 16:43:38.404673,2022-10-29 16:43:38.561295,0 days 00:00:00.156622,531,90.0,250,COMPLETE
50,50,0.7078125000000001,2022-10-29 16:43:38.561728,2022-10-29 16:43:38.640738,0 days 00:00:00.079010,211,60.0,550,COMPLETE
51,51,0.6859374999999999,2022-10-29 16:43:38.641146,2022-10-29 16:43:38.845125,0 days 00:00:00.203979,801,90.0,210,COMPLETE
52,52,0.690625,2022-10-29 16:43:38.845551,2022-10-29 16:43:39.264196,0 days 00:00:00.418645,1781,,330,COMPLETE
53,53,0.6984374999999999,2022-10-29 16:43:39.264622,2022-10-29 16:43:39.351442,0 days 00:00:00.086820,231,80.0,110,COMPLETE
54,54,0.7125,2022-10-29 16:43:39.351854,2022-10-29 16:43:39.485853,0 days 00:00:00.133999,421,30.0,590,COMPLETE
55,55,0.6765625,2022-10-29 16:43:39.486269,2022-10-29 16:43:40.006129,0 days 00:00:00.519860,2271,20.0,870,COMPLETE
56,56,0.7250000000000001,2022-10-29 16:43:40.006562,2022-10-29 16:43:40.175316,0 days 00:00:00.168754,521,30.0,410,COMPLETE
57,57,0.71875,2022-10-29 16:43:40.175850,2022-10-29 16:43:40.545349,0 days 00:00:00.369499,1471,30.0,530,COMPLETE
58,58,0.6859375000000001,2022-10-29 16:43:40.545807,2022-10-29 16:43:41.251389,0 days 00:00:00.705582,2871,30.0,690,COMPLETE
59,59,0.715625,2022-10-29 16:43:41.251832,2022-10-29 16:43:41.460298,0 days 00:00:00.208466,751,10.0,350,COMPLETE
60,60,0.7109375,2022-10-29 16:43:41.460716,2022-10-29 16:43:41.529116,0 days 00:00:00.068400,141,30.0,950,COMPLETE
61,61,0.7078125,2022-10-29 16:43:41.529527,2022-10-29 16:43:41.660151,0 days 00:00:00.130624,371,90.0,450,COMPLETE
62,62,0.7140625,2022-10-29 16:43:41.660560,2022-10-29 16:43:41.701152,0 days 00:00:00.040592,21,70.0,730,COMPLETE
63,63,0.7203125,2022-10-29 16:43:41.701678,2022-10-29 16:43:41.970177,0 days 00:00:00.268499,1071,100.0,310,COMPLETE
64,64,0.7203124999999999,2022-10-29 16:43:41.970596,2022-10-29 16:43:42.219974,0 days 00:00:00.249378,891,30.0,650,COMPLETE
65,65,0.7156250000000001,2022-10-29 16:43:42.220418,2022-10-29 16:43:42.403882,0 days 00:00:00.183464,571,40.0,390,COMPLETE
66,66,0.70625,2022-10-29 16:43:42.404296,2022-10-29 16:43:42.577379,0 days 00:00:00.173083,471,90.0,770,COMPLETE
67,67,0.7125,2022-10-29 16:43:42.577799,2022-10-29 16:43:42.694284,0 days 00:00:00.116485,291,50.0,510,COMPLETE
