,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
0,0,0.6328125,2022-10-29 16:53:16.712225,2022-10-29 16:53:23.315296,0 days 00:00:06.603071,1401,60.0,370,COMPLETE
1,1,0.6453125000000001,2022-10-29 16:53:23.317527,2022-10-29 16:53:24.515248,0 days 00:00:01.197721,1821,90.0,790,COMPLETE
2,2,0.65,2022-10-29 16:53:24.515674,2022-10-29 16:53:25.407967,0 days 00:00:00.892293,1031,50.0,770,COMPLETE
3,3,0.6734375,2022-10-29 16:53:25.408441,2022-10-29 16:53:26.049931,0 days 00:00:00.641490,1821,50.0,1010,COMPLETE
4,4,0.6484375,2022-10-29 16:53:26.050423,2022-10-29 16:53:26.470275,0 days 00:00:00.419852,1691,20.0,830,COMPLETE
5,5,0.6828124999999999,2022-10-29 16:53:26.470726,2022-10-29 16:53:26.875101,0 days 00:00:00.404375,1661,90.0,370,COMPLETE
6,6,0.6875,2022-10-29 16:53:26.875525,2022-10-29 16:53:27.052858,0 days 00:00:00.177333,601,50.0,270,COMPLETE
7,7,0.6765625,2022-10-29 16:53:27.053403,2022-10-29 16:53:27.557284,0 days 00:00:00.503881,2151,100.0,890,COMPLETE
8,8,0.6859375,2022-10-29 16:53:27.557694,2022-10-29 16:53:27.723436,0 days 00:00:00.165742,601,80.0,810,COMPLETE
9,9,0.675,2022-10-29 16:53:27.723844,2022-10-29 16:53:27.905015,0 days 00:00:00.181171,681,30.0,90,COMPLETE
10,10,0.7093750000000001,2022-10-29 16:53:27.905405,2022-10-29 16:53:27.968995,0 days 00:00:00.063590,91,,70,COMPLETE
11,11,0.70625,2022-10-29 16:53:27.969391,2022-10-29 16:53:28.000383,0 days 00:00:00.030992,1,,30,COMPLETE
12,12,0.7171875000000001,2022-10-29 16:53:28.000765,2022-10-29 16:53:28.045642,0 days 00:00:00.044877,31,,10,COMPLETE
13,13,0.70625,2022-10-29 16:53:28.046160,2022-10-29 16:53:28.080222,0 days 00:00:00.034062,1,,170,COMPLETE
14,14,0.70625,2022-10-29 16:53:28.080613,2022-10-29 16:53:28.169705,0 days 00:00:00.089092,261,40.0,590,COMPLETE
15,15,0.6484375,2022-10-29 16:53:28.170098,2022-10-29 16:53:28.263228,0 days 00:00:00.093130,311,70.0,10,COMPLETE
16,16,0.7125,2022-10-29 16:53:28.263640,2022-10-29 16:53:28.524350,0 days 00:00:00.260710,1081,10.0,170,COMPLETE
17,17,0.6781250000000001,2022-10-29 16:53:28.524769,2022-10-29 16:53:28.780403,0 days 00:00:00.255634,1021,10.0,210,COMPLETE
18,18,0.659375,2022-10-29 16:53:28.780837,2022-10-29 16:53:29.080636,0 days 00:00:00.299799,1241,10.0,550,COMPLETE
19,19,0.6796875,2022-10-29 16:53:29.081057,2022-10-29 16:53:29.308860,0 days 00:00:00.227803,831,10.0,390,COMPLETE
20,20,0.7265625,2022-10-29 16:53:29.309333,2022-10-29 16:53:29.432254,0 days 00:00:00.122921,351,20.0,170,COMPLETE
21,21,0.7046875,2022-10-29 16:53:29.432668,2022-10-29 16:53:29.553332,0 days 00:00:00.120664,371,20.0,150,COMPLETE
22,22,0.696875,2022-10-29 16:53:29.553734,2022-10-29 16:53:29.675220,0 days 00:00:00.121486,391,20.0,290,COMPLETE
23,23,0.7140624999999999,2022-10-29 16:53:29.675701,2022-10-29 16:53:29.752958,0 days 00:00:00.077257,211,80.0,130,COMPLETE
24,24,0.6968750000000001,2022-10-29 16:53:29.753357,2022-10-29 16:53:29.830035,0 days 00:00:00.076678,181,80.0,110,COMPLETE
25,25,0.6859375000000001,2022-10-29 16:53:29.830429,2022-10-29 16:53:29.976284,0 days 00:00:00.145855,481,80.0,470,COMPLETE
26,26,0.6734374999999999,2022-10-29 16:53:29.976693,2022-10-29 16:53:30.213931,0 days 00:00:00.237238,811,70.0,250,COMPLETE
27,27,0.73125,2022-10-29 16:53:30.214387,2022-10-29 16:53:30.300153,0 days 00:00:00.085766,231,40.0,670,COMPLETE
28,28,0.6859375,2022-10-29 16:53:30.300554,2022-10-29 16:53:30.470609,0 days 00:00:00.170055,481,40.0,670,COMPLETE
29,29,0.6953125,2022-10-29 16:53:30.471310,2022-10-29 16:53:30.546912,0 days 00:00:00.075602,151,60.0,690,COMPLETE
30,30,0.6421874999999999,2022-10-29 16:53:30.547389,2022-10-29 16:53:30.775287,0 days 00:00:00.227898,731,40.0,470,COMPLETE
31,31,0.675,2022-10-29 16:53:30.775715,2022-10-29 16:53:30.858761,0 days 00:00:00.083046,221,100.0,10,COMPLETE
32,32,0.7171875000000001,2022-10-29 16:53:30.859425,2022-10-29 16:53:31.007014,0 days 00:00:00.147589,441,60.0,330,COMPLETE
33,33,0.70625,2022-10-29 16:53:31.007436,2022-10-29 16:53:31.167826,0 days 00:00:00.160390,461,60.0,330,COMPLETE
34,34,0.7187499999999999,2022-10-29 16:53:31.168242,2022-10-29 16:53:31.243455,0 days 00:00:00.075213,111,60.0,630,COMPLETE
35,35,0.69375,2022-10-29 16:53:31.244020,2022-10-29 16:53:31.438822,0 days 00:00:00.194802,541,60.0,650,COMPLETE
