,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
0,0,0.8125,2022-10-29 16:10:39.873836,2022-10-29 16:10:47.721898,0 days 00:00:07.848062,2901,3741,COMPLETE
1,1,0.828125,2022-10-29 16:10:47.723340,2022-10-29 16:10:49.575294,0 days 00:00:01.851954,3471,3181,COMPLETE
2,2,0.8703125,2022-10-29 16:10:49.575704,2022-10-29 16:10:49.970024,0 days 00:00:00.394320,4271,1431,COMPLETE
3,3,0.8359375,2022-10-29 16:10:49.970379,2022-10-29 16:10:50.653914,0 days 00:00:00.683535,3061,2471,COMPLETE
4,4,0.8671875,2022-10-29 16:10:50.654305,2022-10-29 16:10:51.042927,0 days 00:00:00.388622,3031,1551,COMPLETE
5,5,0.825,2022-10-29 16:10:51.043291,2022-10-29 16:10:52.664602,0 days 00:00:01.621311,3961,3581,COMPLETE
6,6,0.8203125,2022-10-29 16:10:52.664999,2022-10-29 16:10:52.865708,0 days 00:00:00.200709,1121,651,COMPLETE
7,7,0.846875,2022-10-29 16:10:52.866076,2022-10-29 16:10:53.125530,0 days 00:00:00.259454,1361,1011,COMPLETE
8,8,0.8,2022-10-29 16:10:53.125890,2022-10-29 16:10:54.101234,0 days 00:00:00.975344,3581,3901,COMPLETE
9,9,0.8500000000000001,2022-10-29 16:10:54.101617,2022-10-29 16:10:54.842584,0 days 00:00:00.740967,3061,2541,COMPLETE
10,10,0.8328125,2022-10-29 16:10:54.842951,2022-10-29 16:10:54.962980,0 days 00:00:00.120029,4761,291,COMPLETE
11,11,0.8671875,2022-10-29 16:10:54.963515,2022-10-29 16:10:55.343676,0 days 00:00:00.380161,2031,1401,COMPLETE
12,12,0.8875000000000001,2022-10-29 16:10:55.344394,2022-10-29 16:10:55.820377,0 days 00:00:00.475983,4961,1701,COMPLETE
13,13,0.8703124999999999,2022-10-29 16:10:55.820856,2022-10-29 16:10:56.309303,0 days 00:00:00.488447,4931,1911,COMPLETE
