,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
0,0,0.8234374999999999,2022-10-29 16:08:47.022053,2022-10-29 16:08:54.354942,0 days 00:00:07.332889,4381,1661,COMPLETE
1,1,0.803125,2022-10-29 16:08:54.357269,2022-10-29 16:08:55.304612,0 days 00:00:00.947343,3841,1901,COMPLETE
2,2,0.8218749999999999,2022-10-29 16:08:55.305016,2022-10-29 16:08:56.280764,0 days 00:00:00.975748,3111,1281,COMPLETE
3,3,0.8343750000000001,2022-10-29 16:08:56.281147,2022-10-29 16:08:56.625628,0 days 00:00:00.344481,3061,1041,COMPLETE
4,4,0.8296875,2022-10-29 16:08:56.625984,2022-10-29 16:08:56.920443,0 days 00:00:00.294459,4001,1101,COMPLETE
5,5,0.8015625,2022-10-29 16:08:56.920818,2022-10-29 16:08:57.309035,0 days 00:00:00.388217,991,1381,COMPLETE
6,6,0.8296874999999999,2022-10-29 16:08:57.309539,2022-10-29 16:08:58.173648,0 days 00:00:00.864109,2021,761,COMPLETE
7,7,0.815625,2022-10-29 16:08:58.174009,2022-10-29 16:08:58.630682,0 days 00:00:00.456673,2361,1881,COMPLETE
8,8,0.8125,2022-10-29 16:08:58.631188,2022-10-29 16:08:58.884259,0 days 00:00:00.253071,2031,961,COMPLETE
9,9,0.8234374999999999,2022-10-29 16:08:58.884618,2022-10-29 16:08:59.087940,0 days 00:00:00.203322,3551,771,COMPLETE
10,10,0.7859375,2022-10-29 16:08:59.088291,2022-10-29 16:08:59.169170,0 days 00:00:00.080879,161,171,COMPLETE
11,11,0.8140624999999999,2022-10-29 16:08:59.169527,2022-10-29 16:08:59.306004,0 days 00:00:00.136477,4861,461,COMPLETE
12,12,0.8359374999999999,2022-10-29 16:08:59.306367,2022-10-29 16:08:59.586093,0 days 00:00:00.279726,2951,1171,COMPLETE
13,13,0.8125,2022-10-29 16:08:59.586454,2022-10-29 16:08:59.948793,0 days 00:00:00.362339,2941,1531,COMPLETE
14,14,0.815625,2022-10-29 16:08:59.949157,2022-10-29 16:09:00.119126,0 days 00:00:00.169969,1441,591,COMPLETE
15,15,0.83125,2022-10-29 16:09:00.119478,2022-10-29 16:09:00.407109,0 days 00:00:00.287631,2941,1161,COMPLETE
16,16,0.7875,2022-10-29 16:09:00.407491,2022-10-29 16:09:00.958028,0 days 00:00:00.550537,3281,2151,COMPLETE
17,17,0.75625,2022-10-29 16:09:00.958388,2022-10-29 16:09:01.034050,0 days 00:00:00.075662,2621,151,COMPLETE
18,18,0.8234375,2022-10-29 16:09:01.034426,2022-10-29 16:09:01.160858,0 days 00:00:00.126432,1331,441,COMPLETE
19,19,0.8234375,2022-10-29 16:09:01.161234,2022-10-29 16:09:01.397516,0 days 00:00:00.236282,4461,981,COMPLETE
20,20,0.809375,2022-10-29 16:09:01.397885,2022-10-29 16:09:01.743671,0 days 00:00:00.345786,2311,1481,COMPLETE
21,21,0.8296874999999999,2022-10-29 16:09:01.744062,2022-10-29 16:09:02.051595,0 days 00:00:00.307533,2791,1241,COMPLETE
22,22,0.8234375,2022-10-29 16:09:02.051963,2022-10-29 16:09:02.325588,0 days 00:00:00.273625,3631,1131,COMPLETE
23,23,0.846875,2022-10-29 16:09:02.325957,2022-10-29 16:09:02.549245,0 days 00:00:00.223288,3281,861,COMPLETE
24,24,0.834375,2022-10-29 16:09:02.549616,2022-10-29 16:09:02.761954,0 days 00:00:00.212338,3481,791,COMPLETE
25,25,0.8375,2022-10-29 16:09:02.762317,2022-10-29 16:09:03.017283,0 days 00:00:00.254966,4081,931,COMPLETE
26,26,0.8359375,2022-10-29 16:09:03.017650,2022-10-29 16:09:03.291001,0 days 00:00:00.273351,4191,891,COMPLETE
27,27,0.8234374999999999,2022-10-29 16:09:03.291396,2022-10-29 16:09:03.475210,0 days 00:00:00.183814,4371,611,COMPLETE
28,28,0.8296874999999999,2022-10-29 16:09:03.475673,2022-10-29 16:09:03.724755,0 days 00:00:00.249082,4991,881,COMPLETE
29,29,0.7703125,2022-10-29 16:09:03.725144,2022-10-29 16:09:03.838077,0 days 00:00:00.112933,4251,341,COMPLETE
30,30,0.8359375,2022-10-29 16:09:03.838492,2022-10-29 16:09:04.050634,0 days 00:00:00.212142,4551,641,COMPLETE
31,31,0.8140624999999999,2022-10-29 16:09:04.051022,2022-10-29 16:09:04.276996,0 days 00:00:00.225974,4541,661,COMPLETE
32,32,0.84375,2022-10-29 16:09:04.277397,2022-10-29 16:09:04.512216,0 days 00:00:00.234819,3861,861,COMPLETE
33,33,0.846875,2022-10-29 16:09:04.512595,2022-10-29 16:09:04.736339,0 days 00:00:00.223744,3971,871,COMPLETE
34,34,0.8359375,2022-10-29 16:09:04.736732,2022-10-29 16:09:04.948482,0 days 00:00:00.211750,3891,861,COMPLETE
35,35,0.8265625,2022-10-29 16:09:04.948864,2022-10-29 16:09:05.264021,0 days 00:00:00.315157,3791,1331,COMPLETE
36,36,0.834375,2022-10-29 16:09:05.264454,2022-10-29 16:09:05.523103,0 days 00:00:00.258649,3251,1021,COMPLETE
37,37,0.83125,2022-10-29 16:09:05.523474,2022-10-29 16:09:05.662754,0 days 00:00:00.139280,4071,481,COMPLETE
38,38,0.8234375,2022-10-29 16:09:05.663135,2022-10-29 16:09:05.849107,0 days 00:00:00.185972,3401,701,COMPLETE
39,39,0.8484375,2022-10-29 16:09:05.849596,2022-10-29 16:09:06.111007,0 days 00:00:00.261411,3791,1051,COMPLETE
40,40,0.8218749999999999,2022-10-29 16:09:06.111428,2022-10-29 16:09:06.473607,0 days 00:00:00.362179,3751,1481,COMPLETE
41,41,0.815625,2022-10-29 16:09:06.473991,2022-10-29 16:09:06.750055,0 days 00:00:00.276064,4031,1091,COMPLETE
42,42,0.8218749999999999,2022-10-29 16:09:06.750427,2022-10-29 16:09:06.992481,0 days 00:00:00.242054,4691,961,COMPLETE
43,43,0.8359375,2022-10-29 16:09:06.993002,2022-10-29 16:09:07.246824,0 days 00:00:00.253822,3701,811,COMPLETE
44,44,0.8437500000000001,2022-10-29 16:09:07.247185,2022-10-29 16:09:07.562225,0 days 00:00:00.315040,3901,1241,COMPLETE
45,45,0.83125,2022-10-29 16:09:07.562601,2022-10-29 16:09:07.989657,0 days 00:00:00.427056,3171,1251,COMPLETE
46,46,0.8218749999999999,2022-10-29 16:09:07.990041,2022-10-29 16:09:08.422999,0 days 00:00:00.432958,3491,1601,COMPLETE
47,47,0.8203125,2022-10-29 16:09:08.423456,2022-10-29 16:09:08.911021,0 days 00:00:00.487565,3911,1361,COMPLETE
48,48,0.796875,2022-10-29 16:09:08.911483,2022-10-29 16:09:09.522592,0 days 00:00:00.611109,4291,1711,COMPLETE
49,49,0.8296874999999999,2022-10-29 16:09:09.523027,2022-10-29 16:09:09.808244,0 days 00:00:00.285217,4721,1071,COMPLETE
50,50,0.8218749999999999,2022-10-29 16:09:09.808631,2022-10-29 16:09:10.120416,0 days 00:00:00.311785,481,1221,COMPLETE
51,51,0.8421875,2022-10-29 16:09:10.120798,2022-10-29 16:09:10.382974,0 days 00:00:00.262176,4081,911,COMPLETE
52,52,0.825,2022-10-29 16:09:10.383366,2022-10-29 16:09:10.683920,0 days 00:00:00.300554,3841,1061,COMPLETE
53,53,0.8171875,2022-10-29 16:09:10.684289,2022-10-29 16:09:10.890340,0 days 00:00:00.206051,3581,721,COMPLETE
54,54,0.8468749999999999,2022-10-29 16:09:10.890724,2022-10-29 16:09:11.262636,0 days 00:00:00.371912,3391,831,COMPLETE
55,55,0.809375,2022-10-29 16:09:11.263022,2022-10-29 16:09:11.480156,0 days 00:00:00.217134,2581,771,COMPLETE
56,56,0.83125,2022-10-29 16:09:11.480537,2022-10-29 16:09:11.651190,0 days 00:00:00.170653,3311,521,COMPLETE
57,57,0.784375,2022-10-29 16:09:11.651572,2022-10-29 16:09:11.773635,0 days 00:00:00.122063,2771,341,COMPLETE
58,58,0.81875,2022-10-29 16:09:11.774096,2022-10-29 16:09:12.043914,0 days 00:00:00.269818,3051,991,COMPLETE
59,59,0.8328125,2022-10-29 16:09:12.044310,2022-10-29 16:09:12.285482,0 days 00:00:00.241172,3671,821,COMPLETE
60,60,0.8203125,2022-10-29 16:09:12.285858,2022-10-29 16:09:12.669346,0 days 00:00:00.383488,2131,1311,COMPLETE
61,61,0.8390625,2022-10-29 16:09:12.669760,2022-10-29 16:09:12.918375,0 days 00:00:00.248615,4141,921,COMPLETE
62,62,0.834375,2022-10-29 16:09:12.918784,2022-10-29 16:09:13.251930,0 days 00:00:00.333146,3931,1181,COMPLETE
63,63,0.8109375000000001,2022-10-29 16:09:13.252338,2022-10-29 16:09:13.420343,0 days 00:00:00.168005,3421,551,COMPLETE
64,64,0.8296875,2022-10-29 16:09:13.420826,2022-10-29 16:09:13.661669,0 days 00:00:00.240843,4321,861,COMPLETE
65,65,0.8234375,2022-10-29 16:09:13.662090,2022-10-29 16:09:13.880912,0 days 00:00:00.218822,3091,711,COMPLETE
66,66,0.8296875,2022-10-29 16:09:13.881365,2022-10-29 16:09:14.179103,0 days 00:00:00.297738,4031,1141,COMPLETE
67,67,0.8359375,2022-10-29 16:09:14.179486,2022-10-29 16:09:14.452179,0 days 00:00:00.272693,1701,1021,COMPLETE
68,68,0.8343750000000001,2022-10-29 16:09:14.452557,2022-10-29 16:09:14.707553,0 days 00:00:00.254996,4401,931,COMPLETE
69,69,0.825,2022-10-29 16:09:14.707970,2022-10-29 16:09:14.952426,0 days 00:00:00.244456,3591,821,COMPLETE
70,70,0.8265625,2022-10-29 16:09:14.952972,2022-10-29 16:09:15.272644,0 days 00:00:00.319672,2781,1101,COMPLETE
71,71,0.821875,2022-10-29 16:09:15.273034,2022-10-29 16:09:15.527855,0 days 00:00:00.254821,4071,921,COMPLETE
72,72,0.8234375,2022-10-29 16:09:15.528248,2022-10-29 16:09:15.801270,0 days 00:00:00.273022,4181,981,COMPLETE
73,73,0.83125,2022-10-29 16:09:15.801658,2022-10-29 16:09:16.066642,0 days 00:00:00.264984,3801,741,COMPLETE
74,74,0.815625,2022-10-29 16:09:16.067025,2022-10-29 16:09:16.473058,0 days 00:00:00.406033,4621,1421,COMPLETE
75,75,0.76875,2022-10-29 16:09:16.473483,2022-10-29 16:09:16.511433,0 days 00:00:00.037950,4201,11,COMPLETE
