,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
0,0,0.8296875,2022-10-29 16:33:34.201947,2022-10-29 16:33:34.928193,0 days 00:00:00.726246,321,20.0,490,COMPLETE
1,1,0.784375,2022-10-29 16:33:34.929536,2022-10-29 16:33:37.120885,0 days 00:00:02.191349,4071,50.0,670,COMPLETE
2,2,0.834375,2022-10-29 16:33:37.121355,2022-10-29 16:33:37.558829,0 days 00:00:00.437474,691,30.0,110,COMPLETE
3,3,0.8234375,2022-10-29 16:33:37.559464,2022-10-29 16:33:37.817463,0 days 00:00:00.257999,331,50.0,50,COMPLETE
4,4,0.8125,2022-10-29 16:33:37.817882,2022-10-29 16:33:39.256083,0 days 00:00:01.438201,4061,30.0,310,COMPLETE
5,5,0.8171875,2022-10-29 16:33:39.256520,2022-10-29 16:33:40.530060,0 days 00:00:01.273540,4341,30.0,210,COMPLETE
6,6,0.815625,2022-10-29 16:33:40.530485,2022-10-29 16:33:41.314126,0 days 00:00:00.783641,971,80.0,390,COMPLETE
7,7,0.8078125,2022-10-29 16:33:41.314553,2022-10-29 16:33:42.599273,0 days 00:00:01.284720,721,,890,COMPLETE
8,8,0.790625,2022-10-29 16:33:42.599688,2022-10-29 16:33:43.691103,0 days 00:00:01.091415,1681,10.0,890,COMPLETE
9,9,0.8171875,2022-10-29 16:33:43.691608,2022-10-29 16:33:44.260237,0 days 00:00:00.568629,271,20.0,450,COMPLETE
10,10,0.828125,2022-10-29 16:33:44.260808,2022-10-29 16:33:44.914999,0 days 00:00:00.654191,2911,100.0,30,COMPLETE
11,11,0.815625,2022-10-29 16:33:44.915438,2022-10-29 16:33:45.980888,0 days 00:00:01.065450,1571,90.0,650,COMPLETE
12,12,0.8125,2022-10-29 16:33:45.981345,2022-10-29 16:33:47.301621,0 days 00:00:01.320276,2601,70.0,570,COMPLETE
13,13,0.8390625,2022-10-29 16:33:47.302054,2022-10-29 16:33:47.761032,0 days 00:00:00.458978,1291,60.0,150,COMPLETE
14,14,0.8234375,2022-10-29 16:33:47.761428,2022-10-29 16:33:48.345910,0 days 00:00:00.584482,1511,60.0,190,COMPLETE
15,15,0.8390625,2022-10-29 16:33:48.346306,2022-10-29 16:33:48.797139,0 days 00:00:00.450833,1011,60.0,170,COMPLETE
16,16,0.809375,2022-10-29 16:33:48.797588,2022-10-29 16:33:49.647075,0 days 00:00:00.849487,2171,60.0,290,COMPLETE
17,17,0.8265625,2022-10-29 16:33:49.647507,2022-10-29 16:33:50.135401,0 days 00:00:00.487894,1191,60.0,190,COMPLETE
18,18,0.8046875,2022-10-29 16:33:50.135853,2022-10-29 16:33:51.334292,0 days 00:00:01.198439,3281,60.0,330,COMPLETE
19,19,0.803125,2022-10-29 16:33:51.334745,2022-10-29 16:33:52.914347,0 days 00:00:01.579602,1951,40.0,1010,COMPLETE
20,20,0.8359375,2022-10-29 16:33:52.914776,2022-10-29 16:33:53.338226,0 days 00:00:00.423450,1131,60.0,130,COMPLETE
21,21,0.8359375,2022-10-29 16:33:53.338697,2022-10-29 16:33:53.773453,0 days 00:00:00.434756,1311,60.0,130,COMPLETE
22,22,0.815625,2022-10-29 16:33:53.773889,2022-10-29 16:33:54.377874,0 days 00:00:00.603985,1331,60.0,250,COMPLETE
23,23,0.8265625,2022-10-29 16:33:54.378275,2022-10-29 16:33:54.733238,0 days 00:00:00.354963,811,60.0,110,COMPLETE
24,24,0.8625,2022-10-29 16:33:54.733687,2022-10-29 16:33:55.108840,0 days 00:00:00.375153,1981,100.0,10,COMPLETE
25,25,0.828125,2022-10-29 16:33:55.109287,2022-10-29 16:33:55.595764,0 days 00:00:00.486477,2441,100.0,10,COMPLETE
26,26,0.8171875,2022-10-29 16:33:55.596211,2022-10-29 16:33:56.509907,0 days 00:00:00.913696,1901,100.0,390,COMPLETE
27,27,0.740625,2022-10-29 16:33:56.510328,2022-10-29 16:33:56.635924,0 days 00:00:00.125596,11,70.0,10,COMPLETE
28,28,0.81875,2022-10-29 16:33:56.636308,2022-10-29 16:33:57.366134,0 days 00:00:00.729826,3381,10.0,110,COMPLETE
29,29,0.8015625,2022-10-29 16:33:57.366576,2022-10-29 16:33:58.534003,0 days 00:00:01.167427,2051,80.0,530,COMPLETE
30,30,0.8125,2022-10-29 16:33:58.534451,2022-10-29 16:33:59.509558,0 days 00:00:00.975107,2601,90.0,250,COMPLETE
31,31,0.8359375,2022-10-29 16:33:59.510174,2022-10-29 16:34:00.169707,0 days 00:00:00.659533,1721,40.0,150,COMPLETE
32,32,0.8390625,2022-10-29 16:34:00.170701,2022-10-29 16:34:00.615777,0 days 00:00:00.445076,1421,,70,COMPLETE
33,33,0.84375,2022-10-29 16:34:00.616213,2022-10-29 16:34:00.898468,0 days 00:00:00.282255,491,,70,COMPLETE
34,34,0.834375,2022-10-29 16:34:00.898918,2022-10-29 16:34:01.259675,0 days 00:00:00.360757,441,,70,COMPLETE
35,35,0.8359375,2022-10-29 16:34:01.260182,2022-10-29 16:34:01.708459,0 days 00:00:00.448277,641,,70,COMPLETE
36,36,0.809375,2022-10-29 16:34:01.709080,2022-10-29 16:34:01.997730,0 days 00:00:00.288650,111,,70,COMPLETE
37,37,0.8375,2022-10-29 16:34:01.998167,2022-10-29 16:34:02.715266,0 days 00:00:00.717099,1411,50.0,230,COMPLETE
38,38,0.846875,2022-10-29 16:34:02.715824,2022-10-29 16:34:03.100128,0 days 00:00:00.384304,1021,,10,COMPLETE
39,39,0.8453125,2022-10-29 16:34:03.100582,2022-10-29 16:34:03.337877,0 days 00:00:00.237295,551,,10,COMPLETE
40,40,0.8328125,2022-10-29 16:34:03.338292,2022-10-29 16:34:03.568282,0 days 00:00:00.229990,481,,30,COMPLETE
41,41,0.834375,2022-10-29 16:34:03.568689,2022-10-29 16:34:03.964898,0 days 00:00:00.396209,921,,70,COMPLETE
42,42,0.8515625,2022-10-29 16:34:03.965333,2022-10-29 16:34:04.199440,0 days 00:00:00.234107,561,,10,COMPLETE
43,43,0.859375,2022-10-29 16:34:04.199891,2022-10-29 16:34:04.497507,0 days 00:00:00.297616,611,,10,COMPLETE
44,44,0.84375,2022-10-29 16:34:04.497983,2022-10-29 16:34:04.792557,0 days 00:00:00.294574,301,20.0,10,COMPLETE
45,45,0.825,2022-10-29 16:34:04.794410,2022-10-29 16:34:06.125072,0 days 00:00:01.330662,691,30.0,730,COMPLETE
46,46,0.8640625,2022-10-29 16:34:06.125555,2022-10-29 16:34:06.382713,0 days 00:00:00.257158,891,,10,COMPLETE
47,47,0.8265625,2022-10-29 16:34:06.383157,2022-10-29 16:34:06.763175,0 days 00:00:00.380018,881,100.0,110,COMPLETE
48,48,0.84375,2022-10-29 16:34:06.763628,2022-10-29 16:34:06.995860,0 days 00:00:00.232232,191,,50,COMPLETE
49,49,0.81875,2022-10-29 16:34:06.996272,2022-10-29 16:34:08.352570,0 days 00:00:01.356298,1021,50.0,770,COMPLETE
50,50,0.8375,2022-10-29 16:34:08.352978,2022-10-29 16:34:09.025367,0 days 00:00:00.672389,1721,,190,COMPLETE
51,51,0.8515625,2022-10-29 16:34:09.025823,2022-10-29 16:34:09.232552,0 days 00:00:00.206729,611,,10,COMPLETE
52,52,0.8375,2022-10-29 16:34:09.232976,2022-10-29 16:34:09.641316,0 days 00:00:00.408340,771,,110,COMPLETE
53,53,0.8671875,2022-10-29 16:34:09.641752,2022-10-29 16:34:09.976343,0 days 00:00:00.334591,1171,80.0,10,COMPLETE
54,54,0.8328125,2022-10-29 16:34:09.976861,2022-10-29 16:34:10.254447,0 days 00:00:00.277586,331,80.0,50,COMPLETE
55,55,0.83125,2022-10-29 16:34:10.254863,2022-10-29 16:34:10.822977,0 days 00:00:00.568114,1071,80.0,170,COMPLETE
56,56,0.8453125,2022-10-29 16:34:10.823727,2022-10-29 16:34:11.188185,0 days 00:00:00.364458,661,80.0,90,COMPLETE
57,57,0.809375,2022-10-29 16:34:11.188606,2022-10-29 16:34:11.655016,0 days 00:00:00.466410,1201,10.0,150,COMPLETE
58,58,0.828125,2022-10-29 16:34:11.655532,2022-10-29 16:34:12.433597,0 days 00:00:00.778065,1601,20.0,310,COMPLETE
59,59,0.8609375,2022-10-29 16:34:12.434017,2022-10-29 16:34:12.704854,0 days 00:00:00.270837,851,100.0,30,COMPLETE
