,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
0,0,0.809375,2022-10-29 16:39:32.969689,2022-10-29 16:39:33.548988,0 days 00:00:00.579299,1161,60.0,190,COMPLETE
1,1,0.7984375,2022-10-29 16:39:33.550313,2022-10-29 16:39:34.616759,0 days 00:00:01.066446,551,30.0,810,COMPLETE
2,2,0.7765625,2022-10-29 16:39:34.617261,2022-10-29 16:39:36.223980,0 days 00:00:01.606719,1761,,750,COMPLETE
3,3,0.784375,2022-10-29 16:39:36.224417,2022-10-29 16:39:36.993321,0 days 00:00:00.768904,651,50.0,330,COMPLETE
4,4,0.778125,2022-10-29 16:39:36.993719,2022-10-29 16:39:37.225618,0 days 00:00:00.231899,51,70.0,450,COMPLETE
5,5,0.7953125,2022-10-29 16:39:37.225993,2022-10-29 16:39:38.455722,0 days 00:00:01.229729,571,90.0,710,COMPLETE
6,6,0.7890625,2022-10-29 16:39:38.456134,2022-10-29 16:39:39.749850,0 days 00:00:01.293716,1751,100.0,490,COMPLETE
7,7,0.78125,2022-10-29 16:39:39.750379,2022-10-29 16:39:40.874552,0 days 00:00:01.124173,1771,70.0,410,COMPLETE
8,8,0.7953125,2022-10-29 16:39:40.875028,2022-10-29 16:39:41.859713,0 days 00:00:00.984685,1561,80.0,390,COMPLETE
9,9,0.7609375,2022-10-29 16:39:41.860145,2022-10-29 16:39:42.069890,0 days 00:00:00.209745,11,90.0,550,COMPLETE
10,10,0.821875,2022-10-29 16:39:42.070397,2022-10-29 16:39:42.430355,0 days 00:00:00.359958,1251,60.0,30,COMPLETE
11,11,0.790625,2022-10-29 16:39:42.430767,2022-10-29 16:39:42.726586,0 days 00:00:00.295819,1221,60.0,10,COMPLETE
12,12,0.821875,2022-10-29 16:39:42.726986,2022-10-29 16:39:43.121573,0 days 00:00:00.394587,1211,60.0,70,COMPLETE
13,13,0.7125,2022-10-29 16:39:43.121969,2022-10-29 16:39:43.506112,0 days 00:00:00.384143,2141,10.0,10,COMPLETE
14,14,0.771875,2022-10-29 16:39:43.506532,2022-10-29 16:39:45.200467,0 days 00:00:01.693935,901,40.0,990,COMPLETE
15,15,0.8015625,2022-10-29 16:39:45.200863,2022-10-29 16:39:45.872008,0 days 00:00:00.671145,1361,20.0,190,COMPLETE
16,16,0.7984375,2022-10-29 16:39:45.872428,2022-10-29 16:39:46.376585,0 days 00:00:00.504157,871,60.0,150,COMPLETE
17,17,0.7734375,2022-10-29 16:39:46.377006,2022-10-29 16:39:47.165458,0 days 00:00:00.788452,1411,60.0,270,COMPLETE
18,18,0.8203125,2022-10-29 16:39:47.165885,2022-10-29 16:39:47.604760,0 days 00:00:00.438875,921,60.0,90,COMPLETE
19,19,0.7890625,2022-10-29 16:39:47.605177,2022-10-29 16:39:48.234573,0 days 00:00:00.629396,301,20.0,270,COMPLETE
20,20,0.8,2022-10-29 16:39:48.234974,2022-10-29 16:39:48.885679,0 days 00:00:00.650705,2071,,110,COMPLETE
21,21,0.8375,2022-10-29 16:39:48.886191,2022-10-29 16:39:49.261689,0 days 00:00:00.375498,921,60.0,70,COMPLETE
22,22,0.8375,2022-10-29 16:39:49.262208,2022-10-29 16:39:49.538213,0 days 00:00:00.276005,1011,60.0,10,COMPLETE
23,23,0.7984375,2022-10-29 16:39:49.538629,2022-10-29 16:39:50.201706,0 days 00:00:00.663077,991,60.0,250,COMPLETE
24,24,0.803125,2022-10-29 16:39:50.202114,2022-10-29 16:39:50.654140,0 days 00:00:00.452026,791,100.0,110,COMPLETE
25,25,0.8125,2022-10-29 16:39:50.654569,2022-10-29 16:39:51.004572,0 days 00:00:00.350003,331,40.0,90,COMPLETE
26,26,0.746875,2022-10-29 16:39:51.004984,2022-10-29 16:39:51.915929,0 days 00:00:00.910945,1121,10.0,590,COMPLETE
27,27,0.796875,2022-10-29 16:39:51.916342,2022-10-29 16:39:52.553027,0 days 00:00:00.636685,1541,30.0,170,COMPLETE
28,28,0.825,2022-10-29 16:39:52.553440,2022-10-29 16:39:52.807812,0 days 00:00:00.254372,731,50.0,30,COMPLETE
29,29,0.8078125,2022-10-29 16:39:52.808210,2022-10-29 16:39:53.366806,0 days 00:00:00.558596,751,50.0,210,COMPLETE
30,30,0.7984375,2022-10-29 16:39:53.367314,2022-10-29 16:39:54.093260,0 days 00:00:00.725946,401,50.0,350,COMPLETE
31,31,0.8,2022-10-29 16:39:54.093661,2022-10-29 16:39:54.462409,0 days 00:00:00.368748,1081,60.0,50,COMPLETE
32,32,0.8078125,2022-10-29 16:39:54.462888,2022-10-29 16:39:54.862555,0 days 00:00:00.399667,1041,80.0,70,COMPLETE
33,33,0.8046875,2022-10-29 16:39:54.862978,2022-10-29 16:39:55.294723,0 days 00:00:00.431745,701,50.0,150,COMPLETE
34,34,0.79375,2022-10-29 16:39:55.295154,2022-10-29 16:39:55.873009,0 days 00:00:00.577855,511,60.0,230,COMPLETE
